src,dst
0,6
0,7
0,9
0,10
0,12
0,13
0,15
0,17
0,19
0,20
0,21
0,22
0,23
0,25
0,30
0,32
0,37
0,39
0,41
0,42
0,45
0,48
0,50
0,53
0,60
0,68
0,71
0,82
0,98
0,114
0,117
0,125
0,128
0,144
0,147
0,162
0,165
0,171
0,178
0,179
0,185
0,191
0,199
0,202
0,214
0,221
0,223
0,226
0,238
0,240
0,254
0,259
0,265
0,274
0,278
0,288
0,291
0,292
0,299
0,302
0,305
0,306
0,314
0,326
0,328
0,339
0,360
0,413
0,415
0,422
0,430
0,433
0,448
0,451
0,452
0,453
0,462
0,464
0,467
0,470
0,484
0,486
0,499
0,522
0,528
0,539
0,541
0,555
0,563
0,564
0,597
0,627
0,658
0,673
0,677
0,680
0,685
0,699
0,732
0,742
0,747
0,762
0,767
0,783
0,793
0,806
0,816
0,834
0,835
0,868
0,879
0,894
0,896
0,904
0,935
0,949
0,950
0,963
0,979
0,988
0,989
0,996
0,1007
0,1008
0,1044
0,1049
0,1051
0,1070
0,1073
0,1079
0,1094
0,1131
0,1135
0,1155
0,1173
0,1208
0,1219
0,1245
0,1259
0,1263
0,1281
0,1295
0,1314
0,1325
0,1338
0,1344
0,1353
0,1390
0,1396
0,1450
0,1454
0,1465
0,1466
0,1488
0,1489
0,1491
0,1530
0,1539
0,1548
0,1582
0,1599
0,1611
0,1644
0,1666
0,1671
0,1672
0,1695
0,1697
0,1729
0,1740
0,1756
0,1770
0,1777
0,1800
0,1816
0,1834
0,1844
0,1846
0,1854
0,1870
0,1878
0,1930
0,1944
0,1948
0,1963
0,1987
0,1993
0,2002
0,2010
0,2013
0,2030
0,2032
0,2057
0,2072
0,2079
0,2090
0,2091
0,2104
0,2121
0,2135
0,2141
0,2149
0,2171
0,2339
0,2345
0,2392
0,2405
0,2411
0,2419
0,2444
0,2447
0,2494
0,2534
0,2572
0,2576
0,2587
0,2589
0,2596
0,2617
0,2688
0,2698
0,2715
0,2741
0,2770
0,2776
0,2811
0,2828
0,2862
0,2868
0,2909
0,2916
0,2920
0,2933
0,2935
0,2971
0,2988
0,2996
0,3024
0,3036
0,3065
0,3079
0,3100
0,3125
0,3173
0,3180
0,3189
0,3203
0,3213
0,3217
0,3224
0,3229
0,3241
0,3254
0,3294
0,3342
0,3355
0,3357
0,3388
0,3418
0,3428
0,3498
0,3508
0,3515
0,3516
0,3544
0,3560
0,3619
0,3622
0,3642
0,3645
0,3654
0,3691
0,3707
0,3730
0,3770
0,3771
0,3787
0,3811
0,3846
0,3852
0,3953
0,3972
0,3990
0,4010
0,4043
0,4100
0,4110
0,4126
0,4128
0,4140
0,4156
0,4157
0,4165
0,4234
0,4257
0,4263
0,4307
0,4329
0,4332
0,4360
0,4372
0,4387
0,4428
0,4430
0,4455
0,4464
0,4465
0,4525
0,4532
0,4571
0,4578
0,4583
0,4588
0,4591
0,4632
0,4669
0,4684
0,4735
0,4757
0,4775
0,4845
0,4916
0,4941
0,4955
0,4982
0,5075
0,5089
0,5095
0,5143
0,5161
0,5164
0,5180
0,5200
0,5219
0,5247
0,5279
0,5287
0,5345
0,5366
0,5374
0,5375
0,5463
0,5536
0,5616
0,5625
0,5648
0,5674
0,5699
0,5710
0,5733
0,5786
0,5809
0,5820
0,5859
0,5912
0,5950
0,6008
0,6049
0,6056
0,6076
0,6096
0,6127
0,6148
0,6276
0,6296
0,6299
0,6316
0,6352
0,6367
0,6378
0,6420
0,6422
0,6430
0,6440
0,6468
0,6508
0,6518
0,6543
0,6583
0,6625
0,6643
0,6738
0,6757
0,6768
0,6796
0,6802
0,6905
0,6970
0,7006
0,7013
0,7023
0,7039
0,7050
0,7052
0,7061
0,7078
0,7200
0,7236
0,7244
0,7337
0,7384
0,7439
0,7441
0,7465
0,7555
0,7579
0,7602
0,7621
0,7724
0,7825
0,7860
0,7888
0,7889
0,7912
0,7938
0,7976
0,8005
0,8019
0,8031
0,8037
0,8121
0,8176
0,8257
0,8281
0,8321
0,8355
0,8438
0,8497
0,8535
0,8546
0,8562
0,8575
0,8609
0,8636
0,8645
0,8674
0,8716
0,8729
0,8748
0,8798
0,8802
0,8855
0,8890
0,8956
0,8978
0,9022
0,9085
0,9091
0,9100
0,9125
0,9127
0,9206
0,9210
0,9215
0,9218
0,9244
0,9315
0,9335
0,9454
0,9456
0,9478
0,9509
0,9567
0,9621
0,9633
0,9810
0,9901
0,9939
0,9940
0,10004
0,10036
0,10040
0,10182
0,10207
0,10307
0,10371
0,10454
0,10565
0,10575
0,10610
0,10632
0,10662
0,10709
0,10718
0,10780
0,10783
0,10789
0,10872
0,10883
0,10905
0,10989
0,11117
0,11142
0,11218
0,11229
0,11273
0,11313
0,11338
0,11339
0,11392
0,11467
0,11479
0,11504
0,11553
0,11617
0,11654
0,11690
0,11694
0,11698
0,11738
0,11861
0,11906
0,11933
0,12065
0,12145
0,12184
0,12192
0,12330
0,12451
0,12536
0,12545
0,12547
0,12569
0,12601
0,12638
0,12677
0,12691
0,12734
0,12808
0,12822
0,12839
0,12947
0,13009
0,13064
0,13071
0,13091
0,13171
0,13222
0,13237
0,13364
0,13370
0,13450
0,13521
0,13526
0,13541
0,13653
0,13668
0,13808
0,13835
0,13978
0,13993
0,14034
0,14068
0,14107
0,14174
0,14199
0,14217
0,14306
0,14350
0,14406
0,14443
0,14459
0,14472
0,14524
0,14535
0,14580
0,14651
0,14706
0,14752
0,14796
0,14798
0,14895
0,14903
0,14958
0,15004
0,15036
0,15095
0,15118
0,15146
0,15159
0,15507
0,15538
0,15559
0,15678
0,15762
0,15806
0,15814
0,15853
0,15869
0,15978
0,15999
0,16037
0,16082
0,16103
0,16120
0,16165
0,16167
0,16263
0,16405
0,16536
0,16583
0,16587
0,16646
0,16714
0,16746
0,16785
0,16827
0,16916
0,16963
0,16968
0,16993
0,17214
0,17413
0,17430
0,17536
0,17579
0,17657
0,17754
0,17859
0,17874
0,17924
0,17995
0,18006
0,18105
0,18156
0,18211
0,18264
0,18404
0,18431
0,18449
0,18588
0,18701
0,18827
0,18855
0,18871
0,18879
0,19071
0,19109
0,19115
0,19128
0,19154
0,19168
0,19302
0,19407
0,19460
0,19548
0,19591
0,19762
0,19799
0,19977
1,6
1,7
1,8
1,11
1,13
1,14
1,19
1,20
1,24
1,37
1,38
1,41
1,70
1,82
1,95
1,129
1,142
1,161
1,226
1,260
1,307
1,344
1,396
1,411
1,438
1,440
1,487
1,545
1,555
1,574
1,592
1,636
1,808
1,969
1,1006
1,1034
1,1087
1,1103
1,1114
1,1212
1,1221
1,1239
1,1339
1,1409
1,1418
1,1565
1,1665
1,1688
1,1752
1,1783
1,2020
1,2109
1,2205
1,2376
1,2585
1,2605
1,2669
1,2748
1,2788
1,2837
1,2936
1,2982
1,2998
1,3032
1,3068
1,3385
1,3491
1,3506
1,3578
1,3644
1,3701
1,3804
1,3815
1,3878
1,3978
1,4121
1,4185
1,4204
1,4258
1,4352
1,4591
1,4592
1,4711
1,4732
1,4872
1,5282
1,5812
1,6268
1,6339
1,6506
1,6835
1,6946
1,7135
1,7296
1,7586
1,7718
1,7925
1,7929
1,7980
1,8131
1,8362
1,8402
1,8555
1,8913
1,9221
1,9223
1,9366
1,9565
1,9882
1,10166
1,10256
1,10340
1,10954
1,11038
1,11136
1,11316
1,11838
1,12504
1,12572
1,12580
1,12644
1,12856
1,13306
1,13340
1,13615
1,13979
1,14159
1,14248
1,14264
1,14414
1,14424
1,14449
1,14600
1,14817
1,14821
1,14959
1,15022
1,15055
1,16532
1,16666
1,16668
1,17498
1,17516
1,17724
1,18449
1,18451
1,18627
1,18678
1,18888
1,19745
1,19810
2,6
2,7
2,8
2,9
2,10
2,12
2,15
2,18
2,19
2,20
2,27
2,33
2,38
2,41
2,47
2,51
2,53
2,57
2,71
2,77
2,80
2,81
2,87
2,91
2,92
2,93
2,96
2,103
2,112
2,118
2,126
2,141
2,155
2,188
2,200
2,218
2,226
2,243
2,259
2,287
2,291
2,302
2,308
2,318
2,322
2,323
2,335
2,338
2,341
2,342
2,350
2,354
2,356
2,399
2,406
2,422
2,425
2,430
2,439
2,443
2,474
2,478
2,483
2,490
2,494
2,496
2,534
2,570
2,572
2,594
2,596
2,603
2,608
2,629
2,657
2,659
2,666
2,669
2,681
2,682
2,717
2,723
2,767
2,786
2,790
2,791
2,806
2,808
2,866
2,888
2,910
2,915
2,935
2,973
2,992
2,997
2,1020
2,1021
2,1048
2,1057
2,1058
2,1080
2,1081
2,1083
2,1133
2,1153
2,1160
2,1166
2,1182
2,1217
2,1235
2,1254
2,1265
2,1314
2,1327
2,1415
2,1440
2,1451
2,1458
2,1479
2,1514
2,1617
2,1635
2,1649
2,1713
2,1722
2,1729
2,1750
2,1773
2,1832
2,1880
2,1885
2,1903
2,1910
2,1979
2,2009
2,2041
2,2098
2,2106
2,2133
2,2168
2,2211
2,2238
2,2252
2,2265
2,2298
2,2302
2,2326
2,2348
2,2356
2,2379
2,2410
2,2411
2,2434
2,2449
2,2468
2,2503
2,2540
2,2589
2,2651
2,2664
2,2682
2,2714
2,2721
2,2725
2,2809
2,2830
2,2854
2,2888
2,2891
2,2895
2,2901
2,2956
2,3018
2,3029
2,3082
2,3156
2,3290
2,3313
2,3331
2,3344
2,3359
2,3438
2,3443
2,3445
2,3446
2,3491
2,3508
2,3521
2,3573
2,3606
2,3747
2,3770
2,3852
2,3977
2,4072
2,4155
2,4174
2,4195
2,4237
2,4248
2,4250
2,4342
2,4347
2,4359
2,4379
2,4413
2,4541
2,4553
2,4645
2,4668
2,4710
2,4786
2,4835
2,5003
2,5127
2,5138
2,5171
2,5210
2,5251
2,5265
2,5280
2,5306
2,5321
2,5326
2,5348
2,5407
2,5409
2,5443
2,5514
2,5613
2,5768
2,5847
2,5873
2,5915
2,6109
2,6174
2,6228
2,6233
2,6266
2,6305
2,6311
2,6315
